"REF_DATE","GEO","DGUID","Measure","Sex at birth","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","Percent","Percent","239","units","0","v1277877124","1.1.1.1.1","3.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877125","1.1.1.1.2","2.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877126","1.1.1.1.3","4.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","Percent","Percent","239","units","0","v1277877127","1.1.1.2.1","3.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877128","1.1.1.2.2","2.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877129","1.1.1.2.3","4.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","Percent","Percent","239","units","0","v1277877130","1.1.1.3.1","4.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877131","1.1.1.3.2","3.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877132","1.1.1.3.3","5.5","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","Percent","Percent","239","units","0","v1277877133","1.1.1.4.1","2.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877134","1.1.1.4.2","1.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Both sexes","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877135","1.1.1.4.3","2.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 and over","Percent","Percent","239","units","0","v1277877136","1.1.2.1.1","3.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877137","1.1.2.1.2","2.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877138","1.1.2.1.3","4.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 to 19","Percent","Percent","239","units","0","v1277877139","1.1.2.2.1","3.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877140","1.1.2.2.2","2.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877141","1.1.2.2.3","6.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 20 to 59","Percent","Percent","239","units","0","v1277877142","1.1.2.3.1","3.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877143","1.1.2.3.2","2.4","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877144","1.1.2.3.3","5.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 60 and over","Percent","Percent","239","units","0","v1277877145","1.1.2.4.1","2.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877146","1.1.2.4.2","1.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Males","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877147","1.1.2.4.3","3.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 and over","Percent","Percent","239","units","0","v1277877148","1.1.3.1.1","3.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877149","1.1.3.1.2","2.8","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877150","1.1.3.1.3","4.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 to 19","Percent","Percent","239","units","0","v1277877151","1.1.3.2.1","3.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 to 19","Low 95% confidence interval, percent","Percent","239","units","0","v1277877152","1.1.3.2.2","1.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 1 to 19","High 95% confidence interval, percent","Percent","239","units","0","v1277877153","1.1.3.2.3","4.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 20 to 59","Percent","Percent","239","units","0","v1277877154","1.1.3.3.1","5.1","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 20 to 59","Low 95% confidence interval, percent","Percent","239","units","0","v1277877155","1.1.3.3.2","3.7","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 20 to 59","High 95% confidence interval, percent","Percent","239","units","0","v1277877156","1.1.3.3.3","6.3","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 60 and over","Percent","Percent","239","units","0","v1277877157","1.1.3.4.1","2.0","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 60 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877158","1.1.3.4.2","0.9","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Overall","Females","Ages 60 and over","High 95% confidence interval, percent","Percent","239","units","0","v1277877159","1.1.3.4.3","3.2","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","Percent","Percent","239","units","0","v1277877160","1.2.1.1.1","2.6","","","","1"
"2021","Canada","2016A000011124","Antibody seroprevalence - Infection","Both sexes","Ages 1 and over","Low 95% confidence interval, percent","Percent","239","units","0","v1277877161","1.2.1.1.2","1.6","","","","1"
