"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","COVID-19 rapid test kits demand and usage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that used COVID-19 rapid test kits to test on-site employees","Percent","239","units","0","v1331385455","1.1.1","25.83","B","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that did not use COVID-19 rapid test kits to test on-site employee","Percent","239","units","0","v1331385466","1.1.2","66.42","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which use of COVID-19 rapid test kits is not applicable","Percent","239","units","0","v1331385469","1.1.3","7.75","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Average percent of on-site employees tested using a COVID-19 rapid test kit","Percent","239","units","0","v1331385470","1.1.4","65.13","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that don’t know the percentage of on-site employees tested using a COVID-19 rapid test kit","Percent","239","units","0","v1331385471","1.1.5","17.17","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that plan to use COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331385472","1.1.6","29.70","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that do not plan to use COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331385473","1.1.7","44.84","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that don’t know if they will be using COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331385474","1.1.8","24.39","B","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, lack of awareness, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385475","1.1.9","3.91","D","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, difficulty procuring, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385456","1.1.10","27.71","B","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, cost of tests, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385457","1.1.11","14.00","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, cost of administering tests, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385458","1.1.12","5.80","D","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, low perceived risk, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385459","1.1.13","55.83","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, not needed, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385460","1.1.14","26.54","B","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which, other, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331385461","1.1.15","12.51","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that, on average, test employees using COVID-19 rapid test kits less than once a week","Percent","239","units","0","v1331385462","1.1.16","56.65","B","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that, on average, test employees using COVID-19 rapid test once a week","Percent","239","units","0","v1331385463","1.1.17","18.79","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that, on average, test employees using COVID-19 rapid test kits twice a week","Percent","239","units","0","v1331385464","1.1.18","17.47","C","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses that, on average, test employees using COVID-19 rapid test kits more than twice a week","Percent","239","units","0","v1331385465","1.1.19","7.09","D","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses for which personal protective equipment (PPE) is essential","Percent","239","units","0","v1331385467","1.1.20","29.82","A","","","2"
"2022-01","Canada","2016A000011124","All industries","Percent of businesses expecting to have shortages of COVID-19 rapid test kits within the next 3 months","Percent","239","units","0","v1331385468","1.1.21","33.67","B","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that used COVID-19 rapid test kits to test on-site employees","Percent","239","units","0","v1331386001","1.2.1","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that did not use COVID-19 rapid test kits to test on-site employee","Percent","239","units","0","v1331386012","1.2.2","69.09","C","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which use of COVID-19 rapid test kits is not applicable","Percent","239","units","0","v1331386015","1.2.3","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Average percent of on-site employees tested using a COVID-19 rapid test kit","Percent","239","units","0","v1331386016","1.2.4","45.35","D","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that don’t know the percentage of on-site employees tested using a COVID-19 rapid test kit","Percent","239","units","0","v1331386017","1.2.5","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that plan to use COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331386018","1.2.6","40.12","D","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that do not plan to use COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331386019","1.2.7","50.02","D","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that don’t know if they will be using COVID-19 rapid test kits to test on-site employees in the next three months","Percent","239","units","0","v1331386020","1.2.8","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, lack of awareness, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386021","1.2.9","0.00","A","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, difficulty procuring, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386002","1.2.10","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, cost of tests, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386003","1.2.11","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, cost of administering tests, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386004","1.2.12","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, low perceived risk, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386005","1.2.13","73.34","D","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, not needed, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386006","1.2.14","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses for which, other, is a reason for not having plans to use COVID-19 rapid test kits in the next three months","Percent","239","units","0","v1331386007","1.2.15","0.00","A","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that, on average, test employees using COVID-19 rapid test kits less than once a week","Percent","239","units","0","v1331386008","1.2.16","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that, on average, test employees using COVID-19 rapid test once a week","Percent","239","units","0","v1331386009","1.2.17","","F","","","2"
"2022-01","Canada","2016A000011124","Agriculture, forestry, fishing and hunting [11]","Percent of businesses that, on average, test employees using COVID-19 rapid test kits twice a week","Percent","239","units","0","v1331386010","1.2.18","","F","","","2"
