"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"COVID-19 Rapid Test kits demand and usage","13100838",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310083801",,"CURRENT - a cube available to the public and that is current","Occasional Monthly","2022-01-01","2022-01-01","3",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","North American Industry Classification System (NAICS)",,""
"3","COVID-19 rapid test kits demand and usage",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Atlantic Region","[1]","2","1","",1,
"1","Quebec","[24]","3","1","",,
"1","Ontario","[35]","4","1","",,
"1","Manitoba and Saskatchewan","","5","1","",,
"1","Alberta","[48]","6","1","",,
"1","British Columbia","[59]","7","1","",,
"1","Territories","[6]","8","1","",2,
"1","Canada","[11124]","1","","",,
"2","Agriculture, forestry, fishing and hunting","[11]","2","1","",,
"2","Mining, quarrying, and oil and gas extraction","[21]","8","1","",,
"2","Construction","[T23]","12","1","",3,
"2","Manufacturing","[31-33]","14","1","",,
"2","Wholesale trade","[41]","33","1","",,
"2","Retail trade","[44-45]","43","1","",,
"2","Transportation and warehousing","[T48-49]","56","1","",4,
"2","Information and cultural industries","[51]","66","1","",,
"2","Finance and insurance","[52]","73","1","",,
"2","Real estate and rental and leasing","[53]","78","1","",,
"2","Professional, scientific and technical services","[54]","82","1","",,
"2","Management of companies and enterprises","[55]","84","1","",,
"2","Administrative and support, waste management and remediation services","[56]","86","1","",,
"2","Elementary and secondary schools","[6111]","113","1","",,
"2","Health care and social assistance (Private businesses only)","[T62]","89","1","",5,
"2","Arts, entertainment and recreation","[71]","99","1","",,
"2","Accommodation and food services","[72]","103","1","",,
"2","Other services (except public administration","[81]","106","1","",,
"2","Crop production","[111]","3","2","",,
"2","Animal production and aquaculture","[112]","4","2","",,
"2","Forestry and logging","[113]","5","2","",,
"2","Fishing, hunting and trapping","[114]","6","2","",,
"2","Support activities for agriculture and forestry","[115]","7","2","",,
"2","Oil and gas extraction","[211]","9","8","",,
"2","Mining and quarrying (except oil and gas)","[212]","10","8","",,
"2","Support activities for mining, and oil and gas extraction","[213]","11","8","",,
"2","Construction of buildings","[236]","13","12","",,
"2","Food manufacturing","[311]","15","14","",,
"2","Beverage and tobacco product manufacturing","[312]","16","14","",,
"2","Textile mills","[313]","111","14","",,
"2","Textile product mills","[314]","17","14","",,
"2","Clothing manufacturing","[315]","18","14","",,
"2","Wood product manufacturing","[321]","19","14","",,
"2","Paper manufacturing","[322]","20","14","",,
